აღებაც	აღებ აც
მეთოდებისა	მეთოდ ების ა
მოქმედებაში	მოქმედებ აში
წარმოადგინა	წარმოადგინ ა
დიქტატორს	დიქტატორ ს
დასრულდეს	დასრულ დ ეს
ანამ	ან ამ
ინტერესებისათვის	ინტერეს ების ათვ ის
კლერმონის	კლერ მონ ის
ცვალებადობის	ცვალებად ობ ის
კეთების	კეთებ ის
კოლინზმა	კოლინზ მა
შრომების	შრომ ების
რამდენიმე	რამდენ იმე
სიმკაცრით	სი მკაცრ ით
გლენ	გლ ენ
სახლობდა	სახლ ობ და
ბუში	ბუ ში
ქარავნები	ქარავნ ები
გეოგრაფის	გეოგრაფი ს
მოინათლნენ	მო ი ნათლ ნენ
ავსტრალიის	ავსტრალი ის
ნაპრალები	ნაპრალ ები
გაილაშქრა	გა ილაშქრ ა
გაეხსნათ	გა ეხსნ ათ
შემოქმედებაშიც	შე მოქმედებ აში ც
აფრიკულ	აფრიკ ულ
გრიგოლის	გრიგოლ ი ს
პერიფერიულ	პერიფერი ულ
ადამიანისგან	ადამიან ის გან
თანაშემწეობით	თანა შემწ ეობ ით
